overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
1,,True,"12 25, 2015",A1P50PTLL2067L,B018T7WSFA,,PJN,"Amazon won't let you use your existing account balance to purchase these.  I feel manipulated and, while I have been a regular Amazon purchaser in the past, this has left a bad taste in my mouth.  I wouldn't go through with the purchase, but I need the card in a couple of hours.",Bad taste in my mouth.,1451001600,
1,,True,"05 17, 2016",ANQI6EG0212TG,B01EO0M2ZW,,Amazon Customer,"Well, my adopted son showed no appreciation for his gift card; however, I am sure he purchased something nice from Amazon,
though I am not aware of what it was.  I wish I had bought the gift card for myself!",I am sure he purchased something nice from Amazon,1463443200,
1,,True,"04 20, 2012",A235WXI1R6H7CB,B004LLIL3M,,MMG,"Ordered on March 19, for a birthday present. When I last spoke with the person ( ealy April), they had not received it",Gift voucher,1334880000,
1,3,False,"12 9, 2014",A209VYQ9844EO,B00ADR2XIC,,B. Hammond,"Gift box was dirty and crushed inside. Impossible to give as a gift and create the desired impression.  This box says ""I don't care about you, I am treating you like dirt.""  You people should be ashamed of yourselves!  I wish I had listened to the other reviews.  Instead, I went with optimism that mine would arrive differently, rather since this box seemed much prettier in the picture.  Makes me really angry!",Disgraceful!!!,1418083200,
1,,False,"07 6, 2017",A2AHCAICFSDA45,B00FJ4CDGQ,,Guest78,Purchased card and never was able to activate it. Avoid this seller,One Star,1499299200,
1,,True,"12 12, 2017",ALNTZJ3EK934T,B00BXLU87U,,raeann,Do not purchase this card!  As other reviewers said it comes inactivated!  That means no money loaded on the card.  Amazon replaced it and still inactivated.  A real mess trying to get this fixed.,Do not purchase,1513036800,
1,,True,"08 7, 2014",A1WNQWSN9XJVMF,B00AF0K90Q,,Emma,"I (Robert Dingwall ) was the recipient of this gift card, so my daughter has asked me to respond to your request. I thought the idea was great, but I am unable to spend the two gift vouchers because amazon.com.au do not have gift cards in there system yet.
Yours sincerely
Robert Dingwall
Bodin7@bigpond.com",Disappointed,1407369600,
1,,False,"07 2, 2017",A1N1KC7I107T31,B01GP1W4LA,,TRF,Waste of time and money.,One Star,1498953600,
1,,False,"01 29, 2013",A1QWME37IF4QBL,B004Q7CK9M,,L. Cox,"Does NOT, I repeat.. NOT work with Audible audiobooks. There is as far as I have found no possible way to apply gift cards to purchase audiobooks via Audible.",??????????,1359417600,
1,4,True,"09 4, 2016",A2XOE85JLRJNSW,B00GOLQ9AY,,Jim Platt,"Absolutely terrible, 3 taco times have declined it. It's so absolutely embarrassing, I am using it at the correct stores, following all the rules. I.e. no western Washington etc and it STILL does not work. Online it says it is full but the card won't read at the store. I have contacted managers of locations who feel awful but tell me it is invalid and contacted the seller who has not responded. I will be contacting them today again but do not purchase this card. Not work the hassle and chances are - you will just be disappointed.","Absolutely terrible, 3 taco times have declined it",1472947200,
1,3,True,"06 7, 2017",A186Z0R91LIJK,B00BXLSGHO,,Nate Olson,"Ordering this as a gift for Mother's Day, and when my mom went to use it, there was no money on the card. Unacceptable.",ACI Gift Cards Ruined Mother's Day,1496793600,
1,,True,"11 25, 2013",A3GIPB5YV0C1BZ,B00CHSWG6O,,Mary Key Morton,"This gift card did not get delivered to my best friend's email.  It was several days before I found out she did not get her gift, and it made me look like a total jerk.  I don't think I will use this method of gifting my friends any more.",Failure to Receive Gift Card,1385337600,
1,4,False,"07 11, 2017",A2RSUEA41KST54,B00BXLVFAO,,Mitissa,"Card and product are fine. What's Bul#$@#! Is prime days millisecond chance to claim them. Apparently I need to set up a bot that pings the server at the exact second they become available to grab one.
As usual, normal consumer gets boned thanks to the hacker's bots. Way to give in Amazon...",Prime Day my A,1499731200,
1,,True,"05 23, 2015",A3VXAQLZLUPJHA,B0066AZGD4,,Ellice,"Well, I know I was being stupid for buying it in the first place, but still, it was annoying that it can't be used in any other countries. They should have an option that allows you to send gift cards to people in other countries.
In the end, I had to redeem it back for myself instead of the person being able to use it.",Amazon needs an international gift card option,1432339200,
1,,True,"11 16, 2017",A15YSWWQ4TLOK3,B00ELQD11E,,Derreck,Whole foods  is too expensive.,Whole foods is too expensive.,1510790400,
1,,True,"12 29, 2015",A1LQ52J01QMDNC,B00PMLD91O,,GSR,Hope Amazon improves this system. I am wasting my time trying to follow through whether my friends received the cards or not.,Hope Amazon improves this system. I am wasting my ...,1451347200,
1,,True,"01 27, 2016",A1F9NQ4XH45OUR,B0145WHVKK,,Grace Less,"Do not buy it you are Australian & want to use it for your Kindle. Only allows purchases from Amazon US store, which Aussie kindle users can no longer purchase books from. Very disappointed and only learned this after the purchase.",Do not buy if you are Australian,1453852800,
1,,False,"07 10, 2015",A202OLFMUIKMS9,B004Q7CK9M,{'Gift Amount:': ' 50'},Dan,"The gift wrapping was AWFUL! Smashed, untied, and not at all as pictured.",Disappointed in Gift Options,1436486400,
1,,False,"05 13, 2018",A2OCDDZZ3BYXN5,B01B25L7US,{'Gift Amount:': ' 25'},BennyNJoon,"I ordered this card for my niece as a gift. It arrived on time. However, it was not valid when she tried to place an order.",Card not valid,1526169600,
1,2,True,"11 25, 2016",A1C5DIA2MNBQDK,B015WY1JDK,,PS,"On the package in small print it says ""cards have no value until activated by cashier"".  I was planning to give the 9 Starbucks gift cards as GIFTS.  Now it looks like they have NO value.",Do these have ANY value??????,1480032000,
1,,False,"01 8, 2016",A3MLT2PFF30ZYI,B00CHQ7I2S,{'Gift Amount:': ' 100'},Kevin James,"The gift card was for a man who saved my life. This is my 3rd review and it's not good. The Christmas Gift Card did not make it as promised for Christmas. It took 3 extra days. Due to the emotional side of this issue (the man saved my life), Amazon agreed to a $100 compensation. They did credit me that amount but cancelled the card. The math is easy. I received nothing and my friend got his card cancelled. I called 3 times to resolve this and each time (Taj, Rose) said they resolved the problem. Did not happen. I never go back on my word and I expect that from friends and a business. This has been a horrible experience that has ruined my Christmas, New Years and now today (my birthday). Today's rep said he would call me back. Did it happen? Of course not.",Worst experience ever!!!!!!!!,1452211200,
1,18,True,"04 14, 2011",A1HZBZGIIWOBQ9,B00414Y7Y6,,Linda C. Ivarson,"With how fast the internet is and even the US mail system, I was so very disappointed with my purchase of a GameStop gift card through Amazon. It took over a week before it finally arrived. --For a last minute person like me, not a good choice. Next time, I'm just sending a regualar Amazon gift card. It's instant.","OK, but took too long!",1302739200,
1,,True,"12 24, 2012",A2SRVRU57MH5SA,B00895H7FO,,Christopher Phillips,"I purchased this gift card for my daughter in Canada. However, when she tried to use it - in Canada - she got some strange error about geographical location.  I wrote Amazon about it, and got a response a few days later that did not help in resolving the issue.  So I wrote them again explaining the problem.  Well, weeks have passed and I am still awaiting a response.

I am very very surprised and the poor level of customer service, especially since I have been highly recommending Amazon to my family and friends.

So as it still stands, I am out of pocket $25 with nothing to show for it.",I am very disappointed,1356307200,
1,2,True,"12 26, 2016",A1G92W637BZHMG,B0091JKVU0,{'Gift Amount:': ' 50'},Jamie kendrick,Never got my 10 dollar gift card for buying 50$,One Star,1482710400,
1,,False,"08 29, 2015",A1RHHW9MHDG58Y,B00PG8502O,,angry-elf,After reading this I decided not to order any gift cards from Amazon. I can't take the chance.,won't order any gift cards from Amazon.,1440806400,
1,,True,"06 15, 2015",A2F83AEBWX823K,B00CHSWG6O,,James P. Anthony,Did not receive the design I chose to print!,Wrong design,1434326400,
1,5,True,"07 7, 2016",AUYAZKB55339K,B00UXLIX00,,Violet Z,"It arrived so fast and I was so curious about using it before.

HOWEVER! It arrives with a broken package inside( which is the orange part) with a really cool and good package outside (which is the black box). I don't know why. Maybe someone just returned it.

THE MOST IMPORTANT IS, IT DOESN'T WORK WELL. It must be the worst USB charger I have ever use. For the first time, it only charged my phone for like 10% battery after charging it several hours through plug. I though maybe I didn't meet the time it requires, so for the second time, I left it charging when left home in the morning, and hope it works when I getting back in the afternoon, HOWEVER!! it doesn't work neither! My phone turned off automatically because of low battery before, then it was still off after half an hour with this charger! My face must full of question mark like this ?_?

Worst ever, disappointing.",Charges many hours and works for 10 minutes!,1467849600,
1,,True,"05 26, 2018",A3ENVNH90LINAO,B00BXQIGA6,,Crystal J,"I received the gift card but it was bent and damaged. Also, the gift card was taped to the cardstock. I was planning on gifting this to a friend and unable to return it. I'm contacting Amazon about this.",Damaged Gift Card,1527292800,['https://images-na.ssl-images-amazon.com/images/I/61tfHVV+RoL._SY88.jpg']
1,,True,"09 13, 2012",A6V1VCY7Y1388,B004RD9ACA,,Sean P. Moran,"I assumed that this would be on my account and when I got a movie it would kick in automagically like other Amazon credits. I didn't bother reading the directions, and I assumed wrong. I got the movie, but wound up paying full price for it. Live and learn.",Confusing in how to apply - paid full price for movie,1347494400,
1,,True,"04 30, 2015",A3FJWEU6BHOSPL,B00JQKK4BU,,Bling,"When I clicked on the attachment, I received an Amazon smiling A instead of the picture that I ordered. We were out of time, so I was unable to call support.","When I clicked on the attachment, I received an ...",1430352000,
1,,False,"03 14, 2017",A2PV19IZL6AY1H,B006PJHPV2,,Amazon Customer,"Wow..a 50 dollar gift card for 50 bucks, what a deal....come on Amazon",Wow.. a 50 dollar gift card for 50 ...,1489449600,
1,2,True,"01 11, 2016",A20EUZXCZ579BH,B00CHQ7I2S,{'Gift Amount:': ' 100'},Chip S,Not individually addressed.  No indication of who it came from.  Misses the point as a gift.,No indication of who the gift was from,1452470400,
1,,True,"05 30, 2016",A1MBMO34C66L72,B00JDQKFPC,{'Gift Amount:': ' 75'},Michael V.,$15 Promotion gift has not been honored after using Gift card.,One Star,1464566400,
1,,False,"03 3, 2018",A2E580VWO6FVD9,B00MV9FCFQ,,Q,"I really regret this purchase. I sent it to my nephew and he was soo excited. But, they codes didn't work and they asked for verifying billing addresses and it has just been a pain in the you know what. Its sort of a grey cloud on the birthday gift. I'm contacting Amazon now to see what we can do to make sure he gets his present",The codes don't work!,1520035200,
1,,False,"11 13, 2017",AQPFONYZ7SXX0,B00ZARHB6E,,Matthew D. Mercer,"Stay FAR away from Hooters gift cards unless it's issued from your local store. My daughter bought me 1 on-line from NY, long story short they wouldn't honor it in Fla , saying the card I just printed on-line has zero balance and Fl chains broke away from corp stores. I got stuck w a $32 bill and was unable to resolve it through cust support. It's a nightmare, unfortunately my daughter was out $50 trying to do something nice for her father.",unfortunately my daughter was out $50 trying to do something nice for her father,1510531200,
1,,False,"01 5, 2018",AH9F4FZCPAZP,B005ESMF5G,{'Gift Amount:': ' 0'},H,I ordered a Amazon gift card December 19th and it just delivered January 4th 2018! I would think that Amazon could do better than 17 days to deliver their own gift card.,Slow delivery,1515110400,
1,,False,"03 10, 2015",A2EHW6KV7POLYJ,B005ESMJ02,{'Gift Amount:': ' 50'},K. Geraghty,"I ordered a large quantity of $100 boxed gift cards. 1/3 of the orange ribbons were covered in black ink that rubbed off the box next to it. This looks very shabby and is an embarrassment in gift giving. Very disappointed. I went to request a replacement, and saw that these are not eligible for replacements. I won't order these again.",Disappointed,1425945600,
1,,True,"01 20, 2015",A3E5E0F78DFA4B,B004LLILPU,,Joel S. Berger,Perfect,One Star,1421712000,
1,5,True,"01 23, 2016",A392B3H2MABJHC,B00JDQJZWG,{'Gift Amount:': ' 50'},Lonnie Andrews,"Did not know that they expire, after 30 days started to get notified use or loose! If not for that it would have been nice.",If not for that it would have been nice.,1453507200,
1,2,True,"04 19, 2017",A16HSYLMPUQRT2,B00PGOMSU0,,Amazon Customer,"The Amazon side of the purchase was fine, unfortunately I couldn't get Fandango's website to recognize the card when I tried to purchase movie tickets.","The Amazon side of the purchase was fine, unfortunately I couldn't get Fandango's website to recognize ...",1492560000,
1,,False,"12 25, 2016",A6MGJ47YDU91X,B0091JKVU0,{'Gift Amount:': ' 100'},Amazon Customer,"My daughter received her gift card for Christmas,  tried to use it and it won't work says invalid code.",Inactive gift card,1482624000,
1,,False,"02 8, 2018",A2EENQS938ZM2P,B004Q7CK9M,{'Gift Amount:': ' 50'},Gin,My son-in-law got a blank card. How can this be solved?,What happened?,1518048000,
1,5,True,"12 17, 2017",A1UYLG5QQ0W8BJ,B00BXLT1UA,,Jesse Junior,Tried to use this gift card at the store and it did not work. The cashier said it didn't have any money on it. I called amazon and they reimbursed me for this item and gave me an additional $30 credit.,Tried to use this gift card at the store and ...,1513468800,
1,2,True,"03 25, 2015",A1W3IM8SAQ041R,B00BXLTUBA,,Nikki Hoffman,Did not work when giftee went to use it. Was very embarrassed. Buy straight from the store!,One Star,1427241600,
1,,True,"03 19, 2013",A1OORPRT8NTOJ1,B004KNWX2Q,,BCF,I didn't find the site easy to navigate for sending it as a gift card. It was unclear to me what card to choose for sending it to another address as a gift. I finally after two attempts talked to an operator who walked me through the third try. i now have two credits on my Amazon acct and a gift card sent to my grandchildren that has not arrived at their address.  A request has been made to track this transaction but has not yet been resolved by Amazon. HELP I LOVE AMAZON BUT YOUR CREDIT CARD IS ONE FEATURE I DO NOT PLAN ON USING AGAIN.,NEVER AGAIN,1363651200,
1,,True,"03 3, 2016",A3394VIGROADW0,B00BXLUFQ4,,Debra J. Mitchel,I was unable to use on the website.,Unable to use on the website,1456963200,
1,,False,"12 17, 2016",A1RUYF9RZN0OUA,B01BLV4R8M,,Amazon Customer,Took to long to recieve,One Star,1481932800,
1,,True,"12 9, 2013",A3DKLZNZVSGQTA,B005EISPOG,,Ann Jenkins,"After paying the $35 online, I never received the email to print out the card.  So the only thing I could give the recipient, Carrie Ross Hofmann, was the number that I had for the transaction.  I noticed that the $35 was charged to my credit card though.  I now learn that Carrie was unable to use the number and had to give Amazon my street address, etc.  How do we resolve this?  In the past getting an Amazon gift card was no big deal.  Let me know!
annbjenkins@gmail.com
Ann B Jenkins
207 W University Ave
]DeLand, FL  32720",Never received email for gift card ordered to print,1386547200,
1,7,True,"11 22, 2016",AUQPGXAUVLRAS,B01E4QS95I,{'Gift Amount:': ' 25'},L. Everett,The outside box is in German not what is pictured amazon this is misleading,Tag is in German,1479772800,"['https://images-na.ssl-images-amazon.com/images/I/71YKG8Gry-L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71e4khuVLeL._SY88.jpg']"
1,,True,"02 18, 2016",A15ZDEOJMP0U64,B00OD4L5DA,,Happy Shopper,No stars horrible-paid $ 35 - charged but not sent to my niece- Sephora email happy birthday,... charged but not sent to my niece- Sephora email happy birthday,1455753600,
1,,True,"12 22, 2017",AL8C2IYZ6NY4B,B01GF6X842,,Gabriela,It came with no ears at all!,Awful Quality,1513900800,['https://images-na.ssl-images-amazon.com/images/I/61y8y-EiFsL._SY88.jpg']
1,18,True,"11 30, 2012",A34UW9UP2A6TJ8,B008SA3BVY,,Linda L.,"This card is NOT ""reedemable"" [sic] ""for any restaurant around the country"".  To utilize the card, you are directed to their website, where you learn what if any restaurants in your zip code take this offer.  In mine, there were only a few restaurants even listed; most are pizza and seedy joints in poor strip centers exclusively.  Not only that, you can't apply the card to the entire order - it only gets you a small ($5, $10) discount toward your check, which must be in excess of a high threshhold.  Example:  good for $5 off check of $37.50 or more.  Imagine how many times you would have to go to disgusting tiny restaurants to use up the $100 value of the card.  If I could have awarded negative stars, this offer sure deserves it.  Amazon, you should know better than to sell a non-product like this.",Flagrant false claim - DO NOT BUY!,1354233600,
1,,True,"01 19, 2017",ALJKLDDBXGAXS,B01E4QS95I,{'Gift Amount:': ' 25'},Diane M. Foster,My nieces and sister loved them. They could buy whatever they wanted. Great gift !!!!!,One Star,1484784000,
1,,True,"12 28, 2017",A1JWWT4XN2Y1NU,B015NKJ6D8,,keely,"Gave as a gift, told it didn't work.",One Star,1514419200,
1,3,True,"07 22, 2014",A1WORD7Z271CTJ,B004KNWWUY,,V V Vilkaitis,"Fine to use and very handy for a quick gift!
Seriously though Amazon - try searching to buy one of your vouchers on your web site... I spent WAY too long to find it.",Great... if you can find it,1405987200,
1,152,False,"01 20, 2009",A2FUPAQ0I7KOR7,B001GXRQW0,{'Gift Amount:': ' 25'},TravelStudent,"My bosses gave me a $50.00 gift card a couple of years ago and I could never use it.  I got the run-around from so many people online that I finally gave up.  I told my bosses and they replaced the gift with a Borders card.  The one that ordered it had to fight with her credit card company about reimbusement.  I still order from Amazon but merchandise only.  I would never, ever buy a gift card from them or suggest to anyone I care about that they should do so either.",Never purchase a gift card through Amazon!!,1232409600,
1,18,False,"12 6, 2009",A37JOUSEZ6NJZL,B002DN7XS4,,L. Marquez,"I had joined before any of this mess. I believed that I was joining a legitimate cause, signed up for their newsletter, never really needed any of their benefits. As I received their daily newsletters, I was able to re-read stories i'd usually find if I was active in the game community in the first place. I have one of their shirts to advertise the cause. I told friends about it. I believed I was helping out a community.

I then wanted to become an active member in their online community. After reading their forum posts, I decided I didn't want to. It seems that all newcomers with ideas in their minds were idiots, and those that have been there longer were the right ones. I decided to stray away. Besides, that couldn't be how the majority of its members acted, right?

But a few days ago, a problem suddenly came up. Because of a rush of users a month or two ago, the ECA decided that they couldn't handle the load it was given. They had a brilliant idea where you wouldn't be able to cancel your membership online anymore, call it a 'hoax,' remove their cancellation phone number from the web site, and then ask you to send a certified letter because it was otherwise it would be 'lost.' An organization based off of the internet doesn't have the ability to have a few lines of code implemented in their website without having an entire structural redesign.

I wouldn't waste my time sticking with them. There are plenty of advocacy groups fighting for your rights. This one is just looking for some more funding to forward their own propaganda. Save your $20 and go buy some shovelware. In the end, it'll just serve you better.",Become a lapdog. Serve the ECA.,1260057600,
1,,False,"12 2, 2015",A1BOV69UTQAX53,B00JJ5A0GQ,,Tara,Bought as a gift for my mother and when she went to use it ZERO DOLLARS on the card.  Very disappointed - first time I have ever had an issue with amazon.,Very disappointed - first time I have ever had an issue ...,1449014400,
1,3,True,"07 7, 2016",A1Q1MC4HSUUEXV,B00UXLIX00,,Patrick Niemeyer,Charger battery was indefinitely red while attempting to charge (never any indication it completed charging). Attempted to use the next day on my commute home and it would not charge my galaxy S6. I feel like I just had some eWaste dumped on me.,Charger seems DOA,1467849600,
1,5,True,"12 29, 2017",A31EBQA15WKR8S,B004Q7CK9M,{'Gift Amount:': ' 30'},Amanda Haderlie ,"I ordered a gift card and it didn't even ship for 12 days after I ordered it. According to customer service, it was backordered. But I know that wasn't true when I ordered mine because I would have done an email gift card instead to ensure delivery close to Christmas. Instead it is shipping out 4 days after Christmas. Amazon customer service use to be awesome, but instead they just keep telling me, sorry it will be delivered January 3rd. Not happy and will not order again!","Amazon customer service use to be awesome, but instead they just keep telling me",1514505600,
1,,True,"05 10, 2015",A28LLQ7ZN6WCUL,B00VW9SC12,,Tim,"Amazon dropped the ball. I received the email to print out gift card for my mom, but the graphics never came with it. This was a great idea until I found it doesn't.  Amazon printable gift cards are stupid.",Worst Mother's Day EVER,1431216000,
1,,True,"01 23, 2016",A37HHVTJFO239A,B004LLIKY2,,James R. DiAngelo,"When my husband redeemed his gift card, the credit was applied to my account. Looks like I gave myself a Christmas present!",Looks like I gave myself a Christmas present,1453507200,
1,,True,"12 17, 2017",A1KF16DZLBI0VF,B0091JKVU0,{'Gift Amount:': ' 0'},Justine Danczewski,Package was opened already inside mailbox,Package was open,1513468800,
1,,True,"05 14, 2018",A3N0M5C2SKKSV1,B00G3LBDDS,,MT,Does not work for family plan.,One Star,1526256000,
1,2,False,"03 9, 2015",A26L7DXCK5UTXL,B00A7BQ44S,,Randall I. Davis,"I received a 3 month subscription for dinner and a movie as a Free gift, First two shipments were found to be unfit to eat as the contents were opened inside the shipments box, Due to lack of any protective seal on the containers,  Even though the product was free as a gift, I cancelled all shipments without any reimbursement,  Not even worth the effort unless you would like to risk the chance of a bacterial illness and a doctor visit is my honest opinion !",Not worth the trouble...,1425859200,['https://images-na.ssl-images-amazon.com/images/I/61SGAM98K-L._SY88.jpg']
1,,False,"03 13, 2017",A3KWPW6ZJTI3KX,B006PJI03Y,,Keep Lavender,"Think twice, their food is not the same quality it was a few years back. I used to love thier burgers, but they changed them without changing the menu, thats wrong. MacDonalds makes a bigger burger, and yes,even though they changed some of their burgers, they changed their menu and burger options to reflect this change. I know many in the food industry have decreased their portion sizes,but did so without interfering with the quality.  TGIF didn't change their menus, but changed their food venues as well as quality, the menu reads the same but the food is very different.

Sorry,  but this is how I feel, very disappointed.",Not the same,1489363200,
1,2,True,"06 3, 2016",A3T7Q79JB7X603,B00OX9OKO6,,Karla,"I purchased this gift card to use with 'rapid order' online purchases, but after two uses, the website would no longer accept the gift card online!",I purchased this gift card to use with 'rapid order' ...,1464912000,
1,,True,"04 30, 2018",A1E7DG6F4HUHHZ,B016PASHH6,,Nicholas Adams,"100% terrible experience! It's difficult to even find where to enter a gift card into your account, let alone to use it. Once you finally figure out where to input the card information, AirBnB will tell you the card cannot be used on ""extended stays"" at AirBnB properties... It's be like Southwest saying you can't one of their gift cards on a flight that's more than 1 hour long.  Simply ridiculous! Now I'm stuck with a gift card I can't use...",Don't Do it! It's a trap!,1525046400,
1,,True,"01 5, 2014",AACCXD4UCY59Z,B004RD8XQE,,kimberly,"Hated this,gave it to my daughter as a xmas gift in 2012 an she could never use it, we lost the money on it, never again!",never again,1388880000,
1,2,True,"11 26, 2017",A1HH39U3WOV9Z3,B00KV30IHG,,Debbie Smith,"Redemption code did not work.  At this time, I am out $100 since Amazon will not allow returns on gift cards.",Redemption code invalid,1511654400,
1,,True,"04 27, 2018",A35E06SVKH04KB,B004LLIKVU,{'Gift Amount:': ' 50'},Liberty Love,I didn't receive my order ??,One Star,1524787200,
1,,True,"12 29, 2015",A3CHTMLGFHLQ4H,B0145WHUP6,,Alan D,I do not recommend.,One Star,1451347200,
1,,True,"06 5, 2018",A2RBS7IAPP0WPO,B004LLIKVU,{'Gift Amount:': ' 50'},matt,"Got scammed

.",One Star,1528156800,
1,,True,"01 25, 2015",A23AUND8OQ232I,B00P8N3YPC,,Marla Rudnick,I was very disappointed when I found out a week after Christmas that my recipient hadn't received it! I ended up resending it so it was all straighted out by Jan 10th but still..wouldn't use again.,Somehow got lost and had to resend :(,1422144000,
1,,True,"12 18, 2016",A2R0443NZ039AH,B005ESMF5G,{'Gift Amount:': ' 100'},Amazon Customer,"As you can see in the photo of this product, the gift card is CHRISTMAS......the box arrives in HALLOWEEN decor !!!",As you can see in the photo of this product ...,1482019200,
1,,True,"03 14, 2018",A37VE1HIOGT08V,B004LLIKVU,{'Gift Amount:': ' 50'},James Brooks,Don't function very well. Skips.,Not a good investment,1520985600,
1,,True,"09 14, 2014",A13S1MIDLMPP2J,B004LLIL4G,,Patricia C. Hodge,"As far as I know it was never delivered,sent it two times to my daughter, who hasn't received it 1 month later !
I've previously liked this concept, but something was really fouled up this time !",I've previously liked this concept,1410652800,
