overall,verified,reviewTime,reviewerID,reviewerName,reviewText,summary,sentiment_label,texto_limpio
1,True,"08 26, 2016",A25KXEJOZ17CJX,Eager Reader,I don't know how this got on my account. I don't shop at The Gap.  An unknown someone got into my account and stole this $25.00 from me.,I didn't order this.,1,i know got account i shop the gap an unknown someone got account stole twenty-five zero
1,False,"10 30, 2014",A31BCGYE0KE6Z1,Donna Gibson,The box was all bent up . come on Amazon this is your product you could at least make sure the box is nice. Very poor job,come on Amazon this is your product you could at least make sure the box is nice. Very poor,1,the box bent come amazon product could least make sure box nice very poor job
1,False,"04 11, 2015",AJM0N3NYE77A,JC,"Be very careful if you decide to buy a Justice gift card, especially if you ever have to return an item. The return policy on the receipt is that you will be given a gift card since you paid with one. What the stores teach and what corporate told me is that you will get a paper merchandise credit instead. The paper certificate cannot be used for online purchases, balance cannot be checked online or by phone and several other major differences. If Justice has a plan to make our credit harder and less likely to be used, they have succeeded!",They Do Not Follow Their Own Return Policies When Gift Cards Are Used,1,be careful decide buy justice gift card especially ever return item the return policy receipt given gift card since paid one what store teach corporate told get paper merchandise credit instead the paper certificate cannot used online purchase balance cannot checked online phone several major difference if justice plan make credit harder le likely used succeeded
1,False,"12 9, 2017",A31OF4Y8K202NA,Ron K.,My Sister said there was nothing in the gift pkg that I added to tell her who it was from. I was wondering why she never acknowledge she received it to thank me and my wife. I'm very disappointed !!.,I'm very disappointed!!,1,my sister said nothing gift pkg i added tell i wondering never acknowledge received thank wife i disappointed
1,True,"12 17, 2016",A1RUYF9RZN0OUA,Amazon Customer,Took to long to recoeve,One Star,1,took long recoeve
1,True,"12 25, 2017",A22UG7YDL7YJA0,P &amp; L,"Given as a gift. When removing the protective tape across the claim number it is unreadable, so basically a waste of money. If it were possible, I'd give it a zero star rating.",so basically a waste of money,1,given gift when removing protective tape across claim number unreadable basically waste money if possible i give zero star rating
1,True,"12 25, 2015",A1P50PTLL2067L,PJN,"Amazon won't let you use your existing account balance to purchase these.  I feel manipulated and, while I have been a regular Amazon purchaser in the past, this has left a bad taste in my mouth.  I wouldn't go through with the purchase, but I need the card in a couple of hours.",Bad taste in my mouth.,1,amazon let use existing account balance purchase i feel manipulated i regular amazon purchaser past left bad taste mouth i go purchase i need card couple hour
1,True,"05 17, 2016",ANQI6EG0212TG,Amazon Customer,"Well, my adopted son showed no appreciation for his gift card; however, I am sure he purchased something nice from Amazon,
though I am not aware of what it was.  I wish I had bought the gift card for myself!",I am sure he purchased something nice from Amazon,1,well adopted son showed appreciation gift card however i sure purchased something nice amazon though i aware i wish i bought gift card
1,True,"04 20, 2012",A235WXI1R6H7CB,MMG,"Ordered on March 19, for a birthday present. When I last spoke with the person ( ealy April), they had not received it",Gift voucher,1,ordered march nineteen birthday present when i last spoke person ealy april received
1,False,"12 9, 2014",A209VYQ9844EO,B. Hammond,"Gift box was dirty and crushed inside. Impossible to give as a gift and create the desired impression.  This box says ""I don't care about you, I am treating you like dirt.""  You people should be ashamed of yourselves!  I wish I had listened to the other reviews.  Instead, I went with optimism that mine would arrive differently, rather since this box seemed much prettier in the picture.  Makes me really angry!",Disgraceful!!!,1,gift box dirty crushed inside impossible give gift create desired impression this box say i care i treating like dirt you people ashamed i wish i listened review instead i went optimism mine would arrive differently rather since box seemed much prettier picture makes really angry
1,False,"07 6, 2017",A2AHCAICFSDA45,Guest78,Purchased card and never was able to activate it. Avoid this seller,One Star,1,purchased card never able activate avoid seller
1,True,"12 12, 2017",ALNTZJ3EK934T,raeann,Do not purchase this card!  As other reviewers said it comes inactivated!  That means no money loaded on the card.  Amazon replaced it and still inactivated.  A real mess trying to get this fixed.,Do not purchase,1,do purchase card as reviewer said come inactivated that mean money loaded card amazon replaced still inactivated a real mess trying get fixed
1,True,"08 7, 2014",A1WNQWSN9XJVMF,Emma,"I (Robert Dingwall ) was the recipient of this gift card, so my daughter has asked me to respond to your request. I thought the idea was great, but I am unable to spend the two gift vouchers because amazon.com.au do not have gift cards in there system yet.
Yours sincerely
Robert Dingwall
Bodin7@bigpond.com",Disappointed,1,i robert dingwall recipient gift card daughter asked respond request i thought idea great i unable spend two gift voucher amazon com au gift card system yet yours sincerely robert dingwall bodin7 bigpond com
1,False,"07 2, 2017",A1N1KC7I107T31,TRF,Waste of time and money.,One Star,1,waste time money
1,False,"01 29, 2013",A1QWME37IF4QBL,L. Cox,"Does NOT, I repeat.. NOT work with Audible audiobooks. There is as far as I have found no possible way to apply gift cards to purchase audiobooks via Audible.",??????????,1,does not i repeat not work audible audiobooks there far i found possible way apply gift card purchase audiobooks via audible
1,True,"09 4, 2016",A2XOE85JLRJNSW,Jim Platt,"Absolutely terrible, 3 taco times have declined it. It's so absolutely embarrassing, I am using it at the correct stores, following all the rules. I.e. no western Washington etc and it STILL does not work. Online it says it is full but the card won't read at the store. I have contacted managers of locations who feel awful but tell me it is invalid and contacted the seller who has not responded. I will be contacting them today again but do not purchase this card. Not work the hassle and chances are - you will just be disappointed.","Absolutely terrible, 3 taco times have declined it",1,absolutely terrible three taco time declined it absolutely embarrassing i using correct store following rule i e western washington etc still work online say full card read store i contacted manager location feel awful tell invalid contacted seller responded i contacting today purchase card not work hassle chance disappointed
1,True,"06 7, 2017",A186Z0R91LIJK,Nate Olson,"Ordering this as a gift for Mother's Day, and when my mom went to use it, there was no money on the card. Unacceptable.",ACI Gift Cards Ruined Mother's Day,1,ordering gift mother day mom went use money card unacceptable
1,True,"11 25, 2013",A3GIPB5YV0C1BZ,Mary Key Morton,"This gift card did not get delivered to my best friend's email.  It was several days before I found out she did not get her gift, and it made me look like a total jerk.  I don't think I will use this method of gifting my friends any more.",Failure to Receive Gift Card,1,this gift card get delivered best friend email it several day i found get gift made look like total jerk i think i use method gifting friend
1,False,"07 11, 2017",A2RSUEA41KST54,Mitissa,"Card and product are fine. What's Bul#$@#! Is prime days millisecond chance to claim them. Apparently I need to set up a bot that pings the server at the exact second they become available to grab one.
As usual, normal consumer gets boned thanks to the hacker's bots. Way to give in Amazon...",Prime Day my A,1,card product fine what bul is prime day millisecond chance claim apparently i need set bot ping server exact second become available grab one as usual normal consumer get boned thanks hacker bot way give amazon
1,True,"05 23, 2015",A3VXAQLZLUPJHA,Ellice,"Well, I know I was being stupid for buying it in the first place, but still, it was annoying that it can't be used in any other countries. They should have an option that allows you to send gift cards to people in other countries.
In the end, I had to redeem it back for myself instead of the person being able to use it.",Amazon needs an international gift card option,1,well i know i stupid buying first place still annoying used country they option allows send gift card people country in end i redeem back instead person able use
1,True,"11 16, 2017",A15YSWWQ4TLOK3,Derreck,Whole foods  is too expensive.,Whole foods is too expensive.,1,whole food expensive
1,True,"12 29, 2015",A1LQ52J01QMDNC,GSR,Hope Amazon improves this system. I am wasting my time trying to follow through whether my friends received the cards or not.,Hope Amazon improves this system. I am wasting my ...,1,hope amazon improves system i wasting time trying follow whether friend received card
1,True,"01 27, 2016",A1F9NQ4XH45OUR,Grace Less,"Do not buy it you are Australian & want to use it for your Kindle. Only allows purchases from Amazon US store, which Aussie kindle users can no longer purchase books from. Very disappointed and only learned this after the purchase.",Do not buy if you are Australian,1,do buy australian want use kindle only allows purchase amazon us store aussie kindle user longer purchase book very disappointed learned purchase
1,False,"07 10, 2015",A202OLFMUIKMS9,Dan,"The gift wrapping was AWFUL! Smashed, untied, and not at all as pictured.",Disappointed in Gift Options,1,the gift wrapping awful smashed untied pictured
1,False,"05 13, 2018",A2OCDDZZ3BYXN5,BennyNJoon,"I ordered this card for my niece as a gift. It arrived on time. However, it was not valid when she tried to place an order.",Card not valid,1,i ordered card niece gift it arrived time however valid tried place order
1,True,"11 25, 2016",A1C5DIA2MNBQDK,PS,"On the package in small print it says ""cards have no value until activated by cashier"".  I was planning to give the 9 Starbucks gift cards as GIFTS.  Now it looks like they have NO value.",Do these have ANY value??????,1,on package small print say card value activated cashier i planning give nine starbucks gift card gifts now look like no value
1,False,"01 8, 2016",A3MLT2PFF30ZYI,Kevin James,"The gift card was for a man who saved my life. This is my 3rd review and it's not good. The Christmas Gift Card did not make it as promised for Christmas. It took 3 extra days. Due to the emotional side of this issue (the man saved my life), Amazon agreed to a $100 compensation. They did credit me that amount but cancelled the card. The math is easy. I received nothing and my friend got his card cancelled. I called 3 times to resolve this and each time (Taj, Rose) said they resolved the problem. Did not happen. I never go back on my word and I expect that from friends and a business. This has been a horrible experience that has ruined my Christmas, New Years and now today (my birthday). Today's rep said he would call me back. Did it happen? Of course not.",Worst experience ever!!!!!!!!,1,the gift card man saved life this 3rd review good the christmas gift card make promised christmas it took three extra day due emotional side issue man saved life amazon agreed one hundred compensation they credit amount cancelled card the math easy i received nothing friend got card cancelled i called three time resolve time taj rose said resolved problem did happen i never go back word i expect friend business this horrible experience ruined christmas new years today birthday today rep said would call back did happen of course
1,True,"04 14, 2011",A1HZBZGIIWOBQ9,Linda C. Ivarson,"With how fast the internet is and even the US mail system, I was so very disappointed with my purchase of a GameStop gift card through Amazon. It took over a week before it finally arrived. --For a last minute person like me, not a good choice. Next time, I'm just sending a regualar Amazon gift card. It's instant.","OK, but took too long!",1,with fast internet even us mail system i disappointed purchase gamestop gift card amazon it took week finally arrived for last minute person like good choice next time i sending regualar amazon gift card it instant
1,True,"12 24, 2012",A2SRVRU57MH5SA,Christopher Phillips,"I purchased this gift card for my daughter in Canada. However, when she tried to use it - in Canada - she got some strange error about geographical location.  I wrote Amazon about it, and got a response a few days later that did not help in resolving the issue.  So I wrote them again explaining the problem.  Well, weeks have passed and I am still awaiting a response.

I am very very surprised and the poor level of customer service, especially since I have been highly recommending Amazon to my family and friends.

So as it still stands, I am out of pocket $25 with nothing to show for it.",I am very disappointed,1,i purchased gift card daughter canada however tried use canada got strange error geographical location i wrote amazon got response day later help resolving issue so i wrote explaining problem well week passed i still awaiting response i surprised poor level customer service especially since i highly recommending amazon family friend so still stand i pocket twenty-five nothing show
1,True,"12 26, 2016",A1G92W637BZHMG,Jamie kendrick,Never got my 10 dollar gift card for buying 50$,One Star,1,never got ten dollar gift card buying fifty
1,False,"08 29, 2015",A1RHHW9MHDG58Y,angry-elf,After reading this I decided not to order any gift cards from Amazon. I can't take the chance.,won't order any gift cards from Amazon.,1,after reading i decided order gift card amazon i take chance
1,True,"06 15, 2015",A2F83AEBWX823K,James P. Anthony,Did not receive the design I chose to print!,Wrong design,1,did receive design i chose print
1,True,"07 7, 2016",AUYAZKB55339K,Violet Z,"It arrived so fast and I was so curious about using it before.

HOWEVER! It arrives with a broken package inside( which is the orange part) with a really cool and good package outside (which is the black box). I don't know why. Maybe someone just returned it.

THE MOST IMPORTANT IS, IT DOESN'T WORK WELL. It must be the worst USB charger I have ever use. For the first time, it only charged my phone for like 10% battery after charging it several hours through plug. I though maybe I didn't meet the time it requires, so for the second time, I left it charging when left home in the morning, and hope it works when I getting back in the afternoon, HOWEVER!! it doesn't work neither! My phone turned off automatically because of low battery before, then it was still off after half an hour with this charger! My face must full of question mark like this ?_?

Worst ever, disappointing.",Charges many hours and works for 10 minutes!,1,it arrived fast i curious using however it arrives broken package inside orange part really cool good package outside black box i know maybe someone returned the most important is it doesn t work well it must worst usb charger i ever use for first time charged phone like ten battery charging several hour plug i though maybe i meet time requires second time i left charging left home morning hope work i getting back afternoon however work neither my phone turned automatically low battery still half hour charger my face must full question mark like _ worst ever disappointing
1,True,"05 26, 2018",A3ENVNH90LINAO,Crystal J,"I received the gift card but it was bent and damaged. Also, the gift card was taped to the cardstock. I was planning on gifting this to a friend and unable to return it. I'm contacting Amazon about this.",Damaged Gift Card,1,i received gift card bent damaged also gift card taped cardstock i planning gifting friend unable return i contacting amazon
1,True,"09 13, 2012",A6V1VCY7Y1388,Sean P. Moran,"I assumed that this would be on my account and when I got a movie it would kick in automagically like other Amazon credits. I didn't bother reading the directions, and I assumed wrong. I got the movie, but wound up paying full price for it. Live and learn.",Confusing in how to apply - paid full price for movie,1,i assumed would account i got movie would kick automagically like amazon credit i bother reading direction i assumed wrong i got movie wound paying full price live learn
1,True,"04 30, 2015",A3FJWEU6BHOSPL,Bling,"When I clicked on the attachment, I received an Amazon smiling A instead of the picture that I ordered. We were out of time, so I was unable to call support.","When I clicked on the attachment, I received an ...",1,when i clicked attachment i received amazon smiling a instead picture i ordered we time i unable call support
1,False,"03 14, 2017",A2PV19IZL6AY1H,Amazon Customer,"Wow..a 50 dollar gift card for 50 bucks, what a deal....come on Amazon",Wow.. a 50 dollar gift card for 50 ...,1,wow fifty dollar gift card fifty buck deal come amazon
1,True,"01 11, 2016",A20EUZXCZ579BH,Chip S,Not individually addressed.  No indication of who it came from.  Misses the point as a gift.,No indication of who the gift was from,1,not individually addressed no indication came misses point gift
1,True,"05 30, 2016",A1MBMO34C66L72,Michael V.,$15 Promotion gift has not been honored after using Gift card.,One Star,1,fifteen promotion gift honored using gift card
1,False,"03 3, 2018",A2E580VWO6FVD9,Q,"I really regret this purchase. I sent it to my nephew and he was soo excited. But, they codes didn't work and they asked for verifying billing addresses and it has just been a pain in the you know what. Its sort of a grey cloud on the birthday gift. I'm contacting Amazon now to see what we can do to make sure he gets his present",The codes don't work!,1,i really regret purchase i sent nephew soo excited but code work asked verifying billing address pain know its sort grey cloud birthday gift i contacting amazon see make sure get present
1,False,"11 13, 2017",AQPFONYZ7SXX0,Matthew D. Mercer,"Stay FAR away from Hooters gift cards unless it's issued from your local store. My daughter bought me 1 on-line from NY, long story short they wouldn't honor it in Fla , saying the card I just printed on-line has zero balance and Fl chains broke away from corp stores. I got stuck w a $32 bill and was unable to resolve it through cust support. It's a nightmare, unfortunately my daughter was out $50 trying to do something nice for her father.",unfortunately my daughter was out $50 trying to do something nice for her father,1,stay far away hooters gift card unless issued local store my daughter bought one line ny long story short honor fla saying card i printed line zero balance fl chain broke away corp store i got stuck w thirty-two bill unable resolve cust support it nightmare unfortunately daughter fifty trying something nice father
1,False,"01 5, 2018",AH9F4FZCPAZP,H,I ordered a Amazon gift card December 19th and it just delivered January 4th 2018! I would think that Amazon could do better than 17 days to deliver their own gift card.,Slow delivery,1,i ordered amazon gift card december 19th delivered january 4th two thousand and eighteen i would think amazon could better seventeen day deliver gift card
1,False,"03 10, 2015",A2EHW6KV7POLYJ,K. Geraghty,"I ordered a large quantity of $100 boxed gift cards. 1/3 of the orange ribbons were covered in black ink that rubbed off the box next to it. This looks very shabby and is an embarrassment in gift giving. Very disappointed. I went to request a replacement, and saw that these are not eligible for replacements. I won't order these again.",Disappointed,1,i ordered large quantity one hundred boxed gift card one three orange ribbon covered black ink rubbed box next this look shabby embarrassment gift giving very disappointed i went request replacement saw eligible replacement i order
1,True,"01 20, 2015",A3E5E0F78DFA4B,Joel S. Berger,Perfect,One Star,1,perfect
1,True,"01 23, 2016",A392B3H2MABJHC,Lonnie Andrews,"Did not know that they expire, after 30 days started to get notified use or loose! If not for that it would have been nice.",If not for that it would have been nice.,1,did know expire thirty day started get notified use loose if would nice
1,True,"04 19, 2017",A16HSYLMPUQRT2,Amazon Customer,"The Amazon side of the purchase was fine, unfortunately I couldn't get Fandango's website to recognize the card when I tried to purchase movie tickets.","The Amazon side of the purchase was fine, unfortunately I couldn't get Fandango's website to recognize ...",1,the amazon side purchase fine unfortunately i get fandango website recognize card i tried purchase movie ticket
1,False,"12 25, 2016",A6MGJ47YDU91X,Amazon Customer,"My daughter received her gift card for Christmas,  tried to use it and it won't work says invalid code.",Inactive gift card,1,my daughter received gift card christmas tried use work say invalid code
1,False,"02 8, 2018",A2EENQS938ZM2P,Gin,My son-in-law got a blank card. How can this be solved?,What happened?,1,my son law got blank card how solved
1,True,"12 17, 2017",A1UYLG5QQ0W8BJ,Jesse Junior,Tried to use this gift card at the store and it did not work. The cashier said it didn't have any money on it. I called amazon and they reimbursed me for this item and gave me an additional $30 credit.,Tried to use this gift card at the store and ...,1,tried use gift card store work the cashier said money i called amazon reimbursed item gave additional thirty credit
1,True,"03 25, 2015",A1W3IM8SAQ041R,Nikki Hoffman,Did not work when giftee went to use it. Was very embarrassed. Buy straight from the store!,One Star,1,did work giftee went use was embarrassed buy straight store
1,True,"03 19, 2013",A1OORPRT8NTOJ1,BCF,I didn't find the site easy to navigate for sending it as a gift card. It was unclear to me what card to choose for sending it to another address as a gift. I finally after two attempts talked to an operator who walked me through the third try. i now have two credits on my Amazon acct and a gift card sent to my grandchildren that has not arrived at their address.  A request has been made to track this transaction but has not yet been resolved by Amazon. HELP I LOVE AMAZON BUT YOUR CREDIT CARD IS ONE FEATURE I DO NOT PLAN ON USING AGAIN.,NEVER AGAIN,1,i find site easy navigate sending gift card it unclear card choose sending another address gift i finally two attempt talked operator walked third try two credit amazon acct gift card sent grandchild arrived address a request made track transaction yet resolved amazon help i love amazon but your credit card is one feature i do not plan on using again
1,True,"03 3, 2016",A3394VIGROADW0,Debra J. Mitchel,I was unable to use on the website.,Unable to use on the website,1,i unable use website
1,False,"12 17, 2016",A1RUYF9RZN0OUA,Amazon Customer,Took to long to recieve,One Star,1,took long recieve
1,True,"12 9, 2013",A3DKLZNZVSGQTA,Ann Jenkins,"After paying the $35 online, I never received the email to print out the card.  So the only thing I could give the recipient, Carrie Ross Hofmann, was the number that I had for the transaction.  I noticed that the $35 was charged to my credit card though.  I now learn that Carrie was unable to use the number and had to give Amazon my street address, etc.  How do we resolve this?  In the past getting an Amazon gift card was no big deal.  Let me know!
annbjenkins@gmail.com
Ann B Jenkins
207 W University Ave
]DeLand, FL  32720",Never received email for gift card ordered to print,1,"after paying thirty-five online i never received email print card so thing i could give recipient carrie ross hofmann number i transaction i noticed thirty-five charged credit card though i learn carrie unable use number give amazon street address etc how resolve in past getting amazon gift card big deal let know annbjenkins gmail com ann b jenkins two hundred and seven w university ave deland fl thirty-two thousand, seven hundred and twenty"
1,True,"11 22, 2016",AUQPGXAUVLRAS,L. Everett,The outside box is in German not what is pictured amazon this is misleading,Tag is in German,1,the outside box german pictured amazon misleading
1,True,"02 18, 2016",A15ZDEOJMP0U64,Happy Shopper,No stars horrible-paid $ 35 - charged but not sent to my niece- Sephora email happy birthday,... charged but not sent to my niece- Sephora email happy birthday,1,no star horrible paid thirty-five charged sent niece sephora email happy birthday
1,True,"12 22, 2017",AL8C2IYZ6NY4B,Gabriela,It came with no ears at all!,Awful Quality,1,it came ear
1,True,"11 30, 2012",A34UW9UP2A6TJ8,Linda L.,"This card is NOT ""reedemable"" [sic] ""for any restaurant around the country"".  To utilize the card, you are directed to their website, where you learn what if any restaurants in your zip code take this offer.  In mine, there were only a few restaurants even listed; most are pizza and seedy joints in poor strip centers exclusively.  Not only that, you can't apply the card to the entire order - it only gets you a small ($5, $10) discount toward your check, which must be in excess of a high threshhold.  Example:  good for $5 off check of $37.50 or more.  Imagine how many times you would have to go to disgusting tiny restaurants to use up the $100 value of the card.  If I could have awarded negative stars, this offer sure deserves it.  Amazon, you should know better than to sell a non-product like this.",Flagrant false claim - DO NOT BUY!,1,this card not reedemable sic restaurant around country to utilize card directed website learn restaurant zip code take offer in mine restaurant even listed pizza seedy joint poor strip center exclusively not apply card entire order get small five ten discount toward check must excess high threshhold example good five check thirty-seven fifty imagine many time would go disgusting tiny restaurant use one hundred value card if i could awarded negative star offer sure deserves amazon know better sell non product like
1,True,"01 19, 2017",ALJKLDDBXGAXS,Diane M. Foster,My nieces and sister loved them. They could buy whatever they wanted. Great gift !!!!!,One Star,1,my niece sister loved they could buy whatever wanted great gift
1,True,"12 28, 2017",A1JWWT4XN2Y1NU,keely,"Gave as a gift, told it didn't work.",One Star,1,gave gift told work
1,True,"07 22, 2014",A1WORD7Z271CTJ,V V Vilkaitis,"Fine to use and very handy for a quick gift!
Seriously though Amazon - try searching to buy one of your vouchers on your web site... I spent WAY too long to find it.",Great... if you can find it,1,fine use handy quick gift seriously though amazon try searching buy one voucher web site i spent way long find
1,False,"01 20, 2009",A2FUPAQ0I7KOR7,TravelStudent,"My bosses gave me a $50.00 gift card a couple of years ago and I could never use it.  I got the run-around from so many people online that I finally gave up.  I told my bosses and they replaced the gift with a Borders card.  The one that ordered it had to fight with her credit card company about reimbusement.  I still order from Amazon but merchandise only.  I would never, ever buy a gift card from them or suggest to anyone I care about that they should do so either.",Never purchase a gift card through Amazon!!,1,my boss gave fifty zero gift card couple year ago i could never use i got run around many people online i finally gave i told boss replaced gift borders card the one ordered fight credit card company reimbusement i still order amazon merchandise i would never ever buy gift card suggest anyone i care either
1,False,"12 6, 2009",A37JOUSEZ6NJZL,L. Marquez,"I had joined before any of this mess. I believed that I was joining a legitimate cause, signed up for their newsletter, never really needed any of their benefits. As I received their daily newsletters, I was able to re-read stories i'd usually find if I was active in the game community in the first place. I have one of their shirts to advertise the cause. I told friends about it. I believed I was helping out a community.

I then wanted to become an active member in their online community. After reading their forum posts, I decided I didn't want to. It seems that all newcomers with ideas in their minds were idiots, and those that have been there longer were the right ones. I decided to stray away. Besides, that couldn't be how the majority of its members acted, right?

But a few days ago, a problem suddenly came up. Because of a rush of users a month or two ago, the ECA decided that they couldn't handle the load it was given. They had a brilliant idea where you wouldn't be able to cancel your membership online anymore, call it a 'hoax,' remove their cancellation phone number from the web site, and then ask you to send a certified letter because it was otherwise it would be 'lost.' An organization based off of the internet doesn't have the ability to have a few lines of code implemented in their website without having an entire structural redesign.

I wouldn't waste my time sticking with them. There are plenty of advocacy groups fighting for your rights. This one is just looking for some more funding to forward their own propaganda. Save your $20 and go buy some shovelware. In the end, it'll just serve you better.",Become a lapdog. Serve the ECA.,1,i joined mess i believed i joining legitimate cause signed newsletter never really needed benefit as i received daily newsletter i able read story usually find i active game community first place i one shirt advertise cause i told friend i believed i helping community i wanted become active member online community after reading forum post i decided i want it seems newcomer idea mind idiot longer right one i decided stray away besides majority member acted right but day ago problem suddenly came because rush user month two ago eca decided handle load given they brilliant idea able cancel membership online anymore call hoax remove cancellation phone number web site ask send certified letter otherwise would lost an organization based internet ability line code implemented website without entire structural redesign i waste time sticking there plenty advocacy group fighting right this one looking funding forward propaganda save twenty go buy shovelware in end serve better
1,False,"12 2, 2015",A1BOV69UTQAX53,Tara,Bought as a gift for my mother and when she went to use it ZERO DOLLARS on the card.  Very disappointed - first time I have ever had an issue with amazon.,Very disappointed - first time I have ever had an issue ...,1,bought gift mother went use zero dollars card very disappointed first time i ever issue amazon
1,True,"07 7, 2016",A1Q1MC4HSUUEXV,Patrick Niemeyer,Charger battery was indefinitely red while attempting to charge (never any indication it completed charging). Attempted to use the next day on my commute home and it would not charge my galaxy S6. I feel like I just had some eWaste dumped on me.,Charger seems DOA,1,charger battery indefinitely red attempting charge never indication completed charging attempted use next day commute home would charge galaxy s6 i feel like i ewaste dumped
1,True,"12 29, 2017",A31EBQA15WKR8S,Amanda Haderlie ,"I ordered a gift card and it didn't even ship for 12 days after I ordered it. According to customer service, it was backordered. But I know that wasn't true when I ordered mine because I would have done an email gift card instead to ensure delivery close to Christmas. Instead it is shipping out 4 days after Christmas. Amazon customer service use to be awesome, but instead they just keep telling me, sorry it will be delivered January 3rd. Not happy and will not order again!","Amazon customer service use to be awesome, but instead they just keep telling me",1,i ordered gift card even ship twelve day i ordered according customer service backordered but i know true i ordered mine i would done email gift card instead ensure delivery close christmas instead shipping four day christmas amazon customer service use awesome instead keep telling sorry delivered january 3rd not happy order
1,True,"05 10, 2015",A28LLQ7ZN6WCUL,Tim,"Amazon dropped the ball. I received the email to print out gift card for my mom, but the graphics never came with it. This was a great idea until I found it doesn't.  Amazon printable gift cards are stupid.",Worst Mother's Day EVER,1,amazon dropped ball i received email print gift card mom graphic never came this great idea i found amazon printable gift card stupid
1,True,"01 23, 2016",A37HHVTJFO239A,James R. DiAngelo,"When my husband redeemed his gift card, the credit was applied to my account. Looks like I gave myself a Christmas present!",Looks like I gave myself a Christmas present,1,when husband redeemed gift card credit applied account looks like i gave christmas present
1,True,"12 17, 2017",A1KF16DZLBI0VF,Justine Danczewski,Package was opened already inside mailbox,Package was open,1,package opened already inside mailbox
1,True,"05 14, 2018",A3N0M5C2SKKSV1,MT,Does not work for family plan.,One Star,1,does work family plan
1,False,"03 9, 2015",A26L7DXCK5UTXL,Randall I. Davis,"I received a 3 month subscription for dinner and a movie as a Free gift, First two shipments were found to be unfit to eat as the contents were opened inside the shipments box, Due to lack of any protective seal on the containers,  Even though the product was free as a gift, I cancelled all shipments without any reimbursement,  Not even worth the effort unless you would like to risk the chance of a bacterial illness and a doctor visit is my honest opinion !",Not worth the trouble...,1,i received three month subscription dinner movie free gift first two shipment found unfit eat content opened inside shipment box due lack protective seal container even though product free gift i cancelled shipment without reimbursement not even worth effort unless would like risk chance bacterial illness doctor visit honest opinion
